crawl_date,crawl_datetime,id,name,price,url,rooms,m2,height,type,elevator,seller_phone,description,euro_per_m2,seller,seller_url
2022-04-09,2022-04-09 16:35:55,92744411,Piso en calle de Felipe II; 7; Centro; Valladolid,185.000,/inmueble/92744411/,2,72,Planta 5ª,exterior con ascensor,yes,615 772 860,Vivienda en Calle Felipe II; Valladolid..El edificio donde se encuentra ubicado la vivienda esta muy bien comunicado; en pleno centro de...,2569.44,,
2022-04-09,2022-04-09 16:35:55,97319554,Piso en calle de las Angustias; 13; Centro; Valladolid,250.000,/inmueble/97319554/,4,119,Planta 5ª,con ascensor,yes,983 981 022,RE/MAX Pisuerga les presenta esta propiedad en la calle Angustias; en pleno casco histórico de Valladolid; ascensor; cuatro dormitorios y...,2100.84,RE/MAX Pisuerga,/pro/remaxpisuerga/
2022-04-09,2022-04-09 16:35:55,97319457,Piso en calle Gardoqui; 6; Centro; Valladolid,239.000,/inmueble/97319457/,3,118,Planta 4ª,con ascensor,yes,983 981 022,En pleno centro de Valladolid entre la Plaza de San Miguel y la Plaza de las Brigidas a pocos minutos de la Plaza Mayor y de la Plaza de...,2025.42,RE/MAX Pisuerga,/pro/remaxpisuerga/
2022-04-09,2022-04-09 16:35:55,94989213,Piso en San Pablo; s/n; Centro; Valladolid,240.000,/inmueble/94989213/,4,99,Planta 3ª,exterior con ascensor,yes,983 980 325,VIDEO INFORMATIVO: para verlo busque en youtube: 24125 GRUPOSUR..Les presento un luminoso piso exterior junto a la Plaza de San Pablo y...,2424.24,Gruposur Luxury,/pro/gruposurluxury/
2022-04-09,2022-04-09 16:35:55,96031458,Piso en plaza Coca; Centro; Valladolid,420.000,/inmueble/96031458/,4,155,Planta 4ª,exterior con ascensor,yes,983 983 973,Bueb piso en vewnta en la Plaza Coca en pleno centro de la ciudad con todos los servicios; consta de Cuatro Dormitorios; Dos Baños; buena...,2709.68,mercados inmobiliarios,/pro/mercados-inmobiliarios/
2022-04-09,2022-04-09 16:35:55,97304159,Piso en calle Acibelas; 14; Centro; Valladolid,69.000,/inmueble/97304159/,4,78,Planta 3ª,exterior sin ascensor,no,983 280 726,Engel & Völkers les presenta una vivienda de 62 m2 habitables; y en pleno centro; es pasante pues tiene orientación a la calle Acibelas;...,884.62,ENGEL & VÖLKERS ● Valladolid,/pro/engelvoelkersvalladolid/
2022-04-09,2022-04-09 16:35:55,97304845,Ático en calle Duque de Lerma; Centro; Valladolid,370.000,/inmueble/97304845/,2,70,Planta 3ª,exterior con ascensor,yes,983 984 468,Se vende Ático en calle Duque de Lerma junto a Plaza Universidad. Dos dormitorios; un cuarto de baño; salón y cocina. Con una terraza de...,5285.71,A&M consultora inmobiliaria,/pro/am-consultora-inmobiliaria/
2022-04-09,2022-04-09 16:35:55,97304831,Piso en calle Duque de Lerma; Centro; Valladolid,340.000,/inmueble/97304831/,2,89,Planta 1ª,exterior con ascensor,yes,983 984 468,Se vende piso en calle Duque de Lerma; junto a Plaza Universidad. Dos dormitorios; dos cuartos de baño; salón y cocina con una pequeña ga...,3820.22,A&M consultora inmobiliaria,/pro/am-consultora-inmobiliaria/
2022-04-09,2022-04-09 16:35:55,97319617,Piso en plaza del Poniente; 5; Centro; Valladolid,215.000,/inmueble/97319617/,3,83,Planta 9ª,con ascensor,yes,983 981 022,Excelente oportunidad. Buena finca. Situación privilegiada. Edificio muy cuidado con tres ascensores y buen portal sin barreras arquitect...,2590.36,RE/MAX Pisuerga,/pro/remaxpisuerga/
2022-04-09,2022-04-09 16:35:55,96741405,Piso en Fray Luis de León; 18; Centro; Valladolid,149.000,/inmueble/96741405/,1,79,Planta 2ª,interior sin ascensor,no,983 980 325,VIDEO INFORMATIVO: para verlo busque en youtube GRUPOSUR 21060..Les presento un exclusivo piso totalmente reformado con excelentes calida...,1886.08,Gruposur Luxury,/pro/gruposurluxury/
2022-04-09,2022-04-09 16:35:55,96136310,Piso en plaza de Los Arces; s/n; Centro; Valladolid,385.000,/inmueble/96136310/,4,181,Planta 1ª,exterior con ascensor,yes,983 980 325,VIDEO INFORMATIVO: para verlo busque en youtube GRUPOSUR 24151..Les presento un bonito piso exterior en la Plaza de Los Arces; a pocos p...,2127.07,Gruposur Luxury,/pro/gruposurluxury/
2022-04-09,2022-04-09 16:35:55,95638488,Piso en San Benito; s/n; Centro; Valladolid,360.000,/inmueble/95638488/,3,105,Planta 5ª,exterior con ascensor,yes,983 980 325,VIDEO INFORMATIVO: para verlo busque en youtube GRUPOSUR 23101..Les presento un bonito piso en la calle Encarnación; frente a la parte po...,3428.57,Gruposur Luxury,/pro/gruposurluxury/
2022-04-09,2022-04-09 16:35:55,85283415,Piso en Acera de Recoletos; 2; Centro; Valladolid,1.350.000,/inmueble/85283415/,3,165,Planta 3ª,exterior con ascensor,yes,983 980 325,VIDEO INFORMATIVO: para verlo busque en youtube GRUPOSUR 24100..Les presento un exclusivo piso de lujo a estrenar en la Acera de Recolet...,8181.82,Gruposur Luxury,/pro/gruposurluxury/
2022-04-09,2022-04-09 16:35:55,36410184,Piso en paseo Isabel la Catolica; 24; Centro; Valladolid,750.000,/inmueble/36410184/,4,215,Planta 11ª,exterior con ascensor,yes,983 980 325,VIDEO INFORMATIVO: para verlo busque en youtube GRUPOSUR 24037..Les presento un precioso piso en el Paseo Isabel La Católica; frente al...,3488.37,Gruposur Luxury,/pro/gruposurluxury/
2022-04-09,2022-04-09 16:35:55,35895565,Piso en calle de Leopoldo Cano; 8; Centro; Valladolid,250.000,/inmueble/35895565/,2,87,Planta 5ª,interior con ascensor,yes,983 980 325,VIDEO INFORMATIVO: para verlo busque en youtube GRUPOSUR 22012..Les presento un bonito piso recientemente reformado en la calle Leopoldo...,2873.56,Gruposur Luxury,/pro/gruposurluxury/
2022-04-09,2022-04-09 16:35:55,97304866,Ático en calle Duque de Lerma; Centro; Valladolid,1.000.000,/inmueble/97304866/,4,183,Planta 4ª,exterior con ascensor,yes,983 984 468,Se vende espectacular Ático en calle Duque de Lerma. Cuatro dormitorios; dos cuartos de baño; salón y cocina. Con terraza de 50 m²; con s...,5464.48,A&M consultora inmobiliaria,/pro/am-consultora-inmobiliaria/
2022-04-09,2022-04-09 16:35:55,97321127,Ático en calle Cebadería; 1; Centro; Valladolid,179.000,/inmueble/97321127/,2,66,Planta 4ª,exterior con ascensor,yes,623 342 926,Fabuloso ático precioso; esquina con Plaza Mayor; calidades de lujo en un edificio de bonitos miradores; el apartamento tiene dos habitac...,2712.12,,
2022-04-09,2022-04-09 16:35:55,96760967,Piso en calle Perú; Centro; Valladolid,295.000,/inmueble/96760967/,2,102,Planta 1ª,exterior sin ascensor,no,983 984 468,A&M les presenta magnífico piso en calle Perú; junto a la Acera Recoletos. Con una superficie de 87 m² útiles; dispone de dos dormitorios...,2892.16,A&M consultora inmobiliaria,/pro/am-consultora-inmobiliaria/
2022-04-09,2022-04-09 16:35:55,26159083,Piso en plaza de la Universidad; Centro; Valladolid,400.000,/inmueble/26159083/,2,81,Planta 6ª,exterior con ascensor,yes,983 980 325,Les presento un fantástico piso con domótica a estrenar en la calle Duque de Lerma; junto a la Plaza de la Universidad; a sólo unos pasos...,4938.27,Gruposur Luxury,/pro/gruposurluxury/
2022-04-09,2022-04-09 16:35:55,97318022,Piso en San Ignacio; 5; Centro; Valladolid,360.000,/inmueble/97318022/,3,114,Bajo,exterior con ascensor,yes,983 981 815,Venta de piso junto San Benito. Todo exterior a un entorno peatonal y ajardinado..Para entrar a vivir con una superficie útil de 100 m2...,3157.89,Fin-vall gestion inmobiliaria,/pro/finvallgestioninmobiliaria/
2022-04-09,2022-04-09 16:35:55,96588291,Piso en calle José María Lacort; Centro; Valladolid,285.000,/inmueble/96588291/,4,119,Planta 3ª,exterior con ascensor,yes,983 982 683,Inmogestión vende amplia y luminosa vivienda en pleno centro de Valladolid; distribuido en cuatro habitaciones; dos baños; cocina; salón...,2394.96,Inmogestión,/pro/grupoinmogestion/
2022-04-09,2022-04-09 16:35:58,97273778,Piso en MURO; Centro; Valladolid,320.000,/inmueble/97273778/,5,170,Planta 5ª,exterior con ascensor,yes,983 986 283,Venta de vivienda de 140;20 m2; dividida en 6 estancias; 4 exteriores y dos a patio de luces; cocina con despensa; baño; aseo; y dos terr...,1882.35,,
2022-04-09,2022-04-09 16:35:58,95883356,Piso en calle Colmenares; 6; Centro; Valladolid,375.000,/inmueble/95883356/,2,100,Planta 3ª,exterior con ascensor,yes,983 280 726,Engel & Völkers presenta esta exclusiva vivienda; se trata de un proyecto singular de obra nueva; manteniendo exclusivamente la fantástic...,3750.0,ENGEL & VÖLKERS ● Valladolid,/pro/engelvoelkersvalladolid/
2022-04-09,2022-04-09 16:35:58,93653585,Piso en calle Divina Pastora; 1; Centro; Valladolid,420.000,/inmueble/93653585/,5,220,Planta 8ª,exterior con ascensor,yes,983 280 726,Engel & Völkers les presenta esta magnífica vivienda exterior; orientada al sur en pleno de centro de Valladolid; en la tranquila calle D...,1909.09,ENGEL & VÖLKERS ● Valladolid,/pro/engelvoelkersvalladolid/
2022-04-09,2022-04-09 16:35:58,91732122,Piso en calle Santiago; 3; Centro; Valladolid,355.000,/inmueble/91732122/,3,140,Planta 3ª,exterior con ascensor,yes,983 280 726,Engel & Völkers presenta este excelente inmueble en la arteria comercial y financiera de Valladolid; en la emblemática calle Santiago. Si...,2535.71,ENGEL & VÖLKERS ● Valladolid,/pro/engelvoelkersvalladolid/
2022-04-09,2022-04-09 16:35:58,91711983,Piso en calle Gamazo; 14; Centro; Valladolid,178.000,/inmueble/91711983/,1,190,Bajo,exterior con ascensor,yes,983 280 726,Engel & Völkers les presenta un gran inmueble en el centro de la Ciudad en un edificio modernista de principios del siglo XX. Se trata de...,936.84,ENGEL & VÖLKERS ● Valladolid,/pro/engelvoelkersvalladolid/
2022-04-09,2022-04-09 16:35:58,90999984,Dúplex en Centro; Valladolid,894.000,/inmueble/90999984/,6,221,Planta 1ª,exterior con ascensor,yes,661 432 514,A 300 metros de la plaza San Miguel; Exclusivo Dúplex de 221 m2 construidos y 180 m2 útiles; 1 plazas de garaje doble (46 m2) y 1 traster...,4045.25,,
2022-04-09,2022-04-09 16:35:58,96899764,Piso en Nicolás Salmerón; 1; Centro; Valladolid,295.000,/inmueble/96899764/,2,68,Planta 5ª,exterior con ascensor,yes,983 980 325,,,,
2022-04-09,2022-04-09 16:35:58,92774019,Piso en calle María de Molina; 11; Centro; Valladolid,220.000,/inmueble/92774019/,4,109,Planta 3ª,exterior con ascensor,yes,983 281 475,Piso en venta en pleno centro de la ciudad; junto a la Plaza de Zorrilla..Consta de 109m² construidos; distribuidos en 4 dormitorios; un...,2018.35,Afin inmobiliaria Valladolid,/pro/afin-inmobiliaria-valladolid/
2022-04-09,2022-04-09 16:35:58,95984223,Piso en calle María de Molina; Centro; Valladolid,270.000,/inmueble/95984223/,2,101,Planta 3ª,con ascensor,yes,983 282 709,PISO PARA REFORMAR EN LA MEJOR ZONA DE VALLADOLID.Precioso inmueble exterior y muy luminoso situado en la zona más céntrica de nuestra c...,2673.27,SIAVA INMOBILIARIA,/pro/siava/
2022-04-09,2022-04-09 16:35:58,97026727,Piso en calle Dos de Mayo; Centro; Valladolid,435.000,/inmueble/97026727/,4,213,Planta 9ª,exterior con ascensor,yes,983 281 387,Agora Inmobiliaria vende piso muy conservado en la calle Dos de Mayo con garaje y trastero Tiene una una superficie construida de 213m² d...,2042.25,Ágora Inmobiliaria,/pro/agora-inmobiliaria-valladolid/
2022-04-09,2022-04-09 16:35:58,95103995,Piso en calle Padilla; 16; Centro; Valladolid,146.000,/inmueble/95103995/,3,70,Planta 4ª,interior con ascensor,yes,983 281 387,Piso centrico en la calle Padilla junto al Hospital Clinico..La zona está dotada de todo tipo de servicios y a cinco minutos de la Plaza...,2085.71,Ágora Inmobiliaria,/pro/agora-inmobiliaria-valladolid/
2022-04-09,2022-04-09 16:35:58,95673214,Piso en calle Santa María; Centro; Valladolid,470.000,/inmueble/95673214/,3,160,Planta 3ª,exterior con ascensor,yes,983 985 243,Dúplex-ático en el centro de valladolid; en perfecto estado..Zona peatonal; tranquila y próxima a plaza mayor; plaza zorrilla y plaza esp...,2937.5,inmobiliaria torrecilla,/pro/inmobiliaria-torrecilla/
2022-04-09,2022-04-09 16:35:58,88262175,Piso en calle Torrecilla; Centro; Valladolid,159.900,/inmueble/88262175/,3,72,Planta 5ª,interior con ascensor,yes,983 985 243,"""en inmobiliaria torrecilla queremos estar a tu lado""..Piso en venta en calle torrecilla; zona muy comercial; y muy próxima a calle angus...",2220.83,inmobiliaria torrecilla,/pro/inmobiliaria-torrecilla/
2022-04-09,2022-04-09 16:35:58,92695239,Piso en calle de Fray Luis de León; Centro; Valladolid,169.000,/inmueble/92695239/,3,104,Planta 1ª,exterior con ascensor,yes,983 985 243,Piso céntrico en venta junto a la plaza de santa cruz; plaza universidad..Exterior; con ascensor; trastero y un monton de posibilidades p...,1625.0,inmobiliaria torrecilla,/pro/inmobiliaria-torrecilla/
2022-04-09,2022-04-09 16:35:58,883638,Piso en Zorrilla; Centro; Valladolid,526.700,/inmueble/883638/,3,113,Planta 4ª,exterior con ascensor,yes,983 980 325,Les presento un bonito piso para reformar en el comienzo del Paseo Zorrilla; junto al histórico edificio de Caballería y a pocos pasos de...,4661.06,Gruposur Luxury,/pro/gruposurluxury/
2022-04-09,2022-04-09 16:35:58,97294024,Piso en calle Dos de Mayo; Centro; Valladolid,439.000,/inmueble/97294024/,4,193,Planta 1ª,exterior con ascensor,yes,983 982 906,Vivienda en venta en Dos de Mayo (Valladolid) Cuenta con 170 m2 útiles; 193m2 construidos. Tiene cuatro habitacones; dos baños; un aseo y...,2274.61,Metro inmobiliaria,/pro/metro-inmobiliaria/
