crawl_date,crawl_datetime,id,name,price,url,rooms,m2,height,type,elevator,seller_phone,description,seller,seller_url
2022-04-09,2022-04-09 16:24:00,95442331,Piso en calle de Linares; 29; Rondilla - Santa Clara; Valladolid,70.000,/inmueble/95442331/,3,75,Planta 3ª,exterior sin ascensor,no,983 283 206,Se vende estupendo piso en Calle Linares; una zona estupenda por estar cerca de las universidades y del Hospital Clínico. Este piso está...,,
2022-04-09,2022-04-09 16:24:00,94493587,Piso en calle de la Virgen de la Saleta; Rondilla - Santa Clara; Valladolid,66.900,/inmueble/94493587/,2,77,Planta 3ª,exterior con ascensor,yes,983 282 718,"'""Agencia inmobiliaria de VALLADOLID zona UNIVERSIDADES - HOSPITAL - LA RONDILLA - SANTA CLARA"" - VENDE - PISO-Piso en la zona de Rondill...",,
2022-04-09,2022-04-09 16:24:00,97036798,Piso en calle de Portillo de Balboa; 46; Rondilla - Santa Clara; Valladolid,110.000,/inmueble/97036798/,3,95,Planta 4ª,exterior con ascensor,yes,983 283 057,Oportunidad vivienda reformada en La Rondilla de tres dormitorios; cocina amueblada; muy soleado; terraza; suelos de parquet. FINANCIAMOS...,Inmobiliaria las llaves de mi piso,/pro/inmobiliaria-las-llaves-de-mi-piso/
2022-04-09,2022-04-09 16:24:00,96788748,Piso en Linares; Rondilla - Santa Clara; Valladolid,80.000,/inmueble/96788748/,3,76,Planta 5ª,exterior con ascensor,yes,983 283 475,AVIVA INVERSIONES INMOBILIARIAS VENDE piso en el barrio de la Rondilla; Valladolid; que tiene una superficie de 76 m2..Oportunidad para...,,
2022-04-09,2022-04-09 16:24:00,93556280,Piso en calle Linares; Rondilla - Santa Clara; Valladolid,85.000,/inmueble/93556280/,3,72,Planta 5ª,exterior con ascensor,yes,983 982 910,Vivienda situada en buena calle de la Rondilla y junto a la Calle Mirabel. Perfecta como inversión o como vivienda habitual..Piso de 72...,,
2022-04-09,2022-04-09 16:24:00,95792014,Piso en calle del Amor de Dios; Rondilla - Santa Clara; Valladolid,77.800,/inmueble/95792014/,2,70,,exterior con ascensor,yes,983 984 032,SOTOCASA vende vivienda en el barrio de la Rondilla! Se trata de una vivienda en una 1ª planta; con ascensor (en entreplanta); y consta d...,Sotocasa,/pro/sotocasa/
2022-04-09,2022-04-09 16:24:00,94563149,Piso en calle de Linares; Rondilla - Santa Clara; Valladolid,185.000,/inmueble/94563149/,3,95,Planta 2ª,interior con ascensor,yes,983 984 032,SOTOCASA vende piso junto a la AVENIDA DE PALENCIA..Se trata de una segunda planta con ascensor; distribuido en 3 dormitorios; salon; coc...,Sotocasa,/pro/sotocasa/
2022-04-09,2022-04-09 16:24:00,37539671,Piso en calle Cerrada; 1; Rondilla - Santa Clara; Valladolid,122.000,/inmueble/37539671/,3,74,Planta 1ª,interior con ascensor,yes,983 985 786,Zona santa clara..Junto supermercado; bancos; bus; a 15 minutos de la plaza mayor..Piso reformado con ascensor..3 habitaciones; salon ind...,Proremar inmuebles sl,/pro/proremar/
2022-04-09,2022-04-09 16:24:00,95357736,Piso en Rondilla - Santa Clara; Valladolid,117.999,/inmueble/95357736/,3,82,Planta 4ª,exterior con ascensor,yes,983 282 781,Si lo que estás buscando en una vivienda en el centro; rodeado de zonas verdes; con vistas al Pisuerga; a 10 min andando de la Plaza Mayo...,,
2022-04-09,2022-04-09 16:24:00,95642286,Piso en Rondilla - Santa Clara; Valladolid,112.000,/inmueble/95642286/,2,62,Planta 2ª,exterior con ascensor,yes,665 674 601,Bonito apartamento muy bien situado y reformado con materiales de alta calidad..Vivienda de 62 m2; con 2 dormitorios; 1 baño; salón y coc...,"Activa Soluciones Inmobiliarias, S.L.",/pro/1100145471389704944-130017525/
2022-04-09,2022-04-09 16:24:00,96972105,Piso en Rondilla - Santa Clara; Valladolid,87.000,/inmueble/96972105/,2,72,Planta 2ª,interior con ascensor,yes,983 981 018,Piso en Valladolid zona Rondilla; 72 m. de superficie; una habitación doble y una habitación sencilla; un baño; propiedad para reformar;...,Alquilotucasa.com,/pro/alquilotucasa/
2022-04-09,2022-04-09 16:24:00,97131297,Piso en calle de Portillo de Balboa; Rondilla - Santa Clara; Valladolid,105.000,/inmueble/97131297/,3,83,Planta 4ª,exterior con ascensor,yes,983 282 563,Alfa Casa gestión vende piso en Barrio Rondilla; todo exterior..Dispone de cocina equipada con salida a terraza; salón; baño y 3 habitac...,,
2022-04-09,2022-04-09 16:24:00,95840773,Piso en calle Moradas; Rondilla - Santa Clara; Valladolid,136.900,/inmueble/95840773/,3,92,Bajo,exterior con ascensor,yes,983 984 196,Para entrar a vivir en el centro de la Rondilla..80 m; 3 dormitorios amplios; salón; cocina amueblada y baño con plato de ducha; patio c...,,
2022-04-09,2022-04-09 16:24:00,85953927,Estudio en calle González Dueñas; 20; Rondilla - Santa Clara; Valladolid,108.000,/inmueble/85953927/,50,Planta 2ª,,,,,,,
2022-04-09,2022-04-09 16:24:00,92640551,Piso en calle Álvaro de Luna; Rondilla - Santa Clara; Valladolid,87.000,/inmueble/92640551/,2,78,Planta 2ª,exterior con ascensor,yes,931 344 169,Oportunidad Bancaria..Se vende piso en la Calle Álvaro de Luna; segundo con ascensor; distribuido en dos dormitorios; un baño; salón con...,Prontopiso,/pro/prontopiso/
2022-04-09,2022-04-09 16:24:00,96947457,Piso en Rondilla - Santa Clara; Valladolid,105.000,/inmueble/96947457/,3,83,Planta 4ª,exterior con ascensor,yes,665 674 601,OPORTUNIDAD ¡ Precioso piso para entrar a vivir! muy bien situado a 10 minutos de Santa Clara! Muy luminoso!.Vivienda de 83 m2; con 3 dor...,"Activa Soluciones Inmobiliarias, S.L.",/pro/1100145471389704944-130017525/
