id,name,price,url,rooms,m2,height,type,elevator,seller,seller_url,seller_phone,description,crawl_datetime,crawl_date
30664196,Piso en calle gonzález dueñas; Rondilla - Santa Clara; Valladolid,114.000,/inmueble/30664196/,2,60,Planta 2ª,Planta 2ª,no,,,,,,
93152467,Piso en calle Olmo; Rondilla - Santa Clara; Valladolid,96.500,/inmueble/93152467/,3,75,Planta 4ª,Planta 4ª,no,A&M consultora inmobiliaria,/pro/am-consultora-inmobiliaria/,983 984 468,Se vende piso junto a Av. Palencia; calle Olmo. Con una superficie construida de 75 m²; dispone de tres dormitorios; un cuarto de baño; s...,2022-04-09 16:15:01,2022-04-09
95021007,Piso en linares; s/n; Rondilla - Santa Clara; Valladolid,64.900,/inmueble/95021007/,3,74,Planta 3ª,Planta 3ª,no,,,,,,
97316502,Piso en calle de Tirso de Molina; Rondilla - Santa Clara; Valladolid,124.000,/inmueble/97316502/,2,59,Planta 6ª,Planta 6ª,no,inmobiliaria torrecilla,/pro/inmobiliaria-torrecilla/,983 985 243,Gran oportunidad de venta de vivienda al principio de la calle tirso de molina..Portal reformado sin barreras arquitectonicas..Muy lumi...,2022-04-09 16:15:01,2022-04-09
95641343,Piso en Olmo; 7; Rondilla - Santa Clara; Valladolid,99.000,/inmueble/95641343/,3,80,Planta 6ª,Planta 6ª,no,,,,,,
97161369,Piso en calle Portillo de Balboa; Rondilla - Santa Clara; Valladolid,138.000,/inmueble/97161369/,3,93,Planta 5ª,Planta 5ª,no,,,,,,
97212750,Piso en calle Portillo de Balboa; Rondilla - Santa Clara; Valladolid,105.000,/inmueble/97212750/,3,87,Planta 2ª,Planta 2ª,no,JC INMOBILIARIA,/pro/jc-inmobiliaria-1/,983 283 258,Estupendo piso en la calle Portillo de Balboa de 87m2; el piso consta de 3 dormitorios (uno un poco mas grande que los otros dos); un cua...,2022-04-09 16:15:04,2022-04-09
95836631,Piso en calle del Soto; Rondilla - Santa Clara; Valladolid,79.800,/inmueble/95836631/,3,74,Planta 2ª,Planta 2ª,no,SIAVA INMOBILIARIA,/pro/siava/,983 282 709,PISO TOTALMENTE EXTERIOR EN LA MEJOR ZONA DE RONDILLA.Situado en una de las calles más valoradas del barrio de la Rondilla; en zona come...,2022-04-09 16:15:04,2022-04-09
97301064,Piso en calle de Linares; Rondilla - Santa Clara; Valladolid,67.000,/inmueble/97301064/,3,64,,,no,Sotocasa,/pro/sotocasa/,983 984 032,Sotocasa vende piso en calle Linares; se trata de una vivienda de tres dormitorios; salón; cocina y baño. Es una planta baja y el bloque...,2022-04-09 16:15:04,2022-04-09
97092136,Piso en calle Nebrija; Rondilla - Santa Clara; Valladolid,125.000,/inmueble/97092136/,3,78,Planta 5ª,Planta 5ª,no,,,,,,
96961398,Piso en calle del Cardenal Torquemada; 29; Rondilla - Santa Clara; Valladolid,136.000,/inmueble/96961398/,3,88,Planta 5ª,Planta 5ª,no,,,,,,
94880727,Piso en calle Serafín; Rondilla - Santa Clara; Valladolid,110.000,/inmueble/94880727/,3,56,Planta 5ª,Planta 5ª,no,,,,,,
91309226,Piso en calle Gonzalez Dueñas; Rondilla - Santa Clara; Valladolid,113.000,/inmueble/91309226/,2,57,Planta 2ª,Planta 2ª,no,,,,,,
97166721,Piso en Rondilla - Santa Clara; Valladolid,105.000,/inmueble/97166721/,3,87,Planta 4ª,Planta 4ª,no,inmobiliaria torrecilla,/pro/inmobiliaria-torrecilla/,983 985 243,Se vende piso en la rondilla en la calle portillo de balboa de 82m construidos y 78 utiles; cerca del paseo del cauce y universidades..Di...,2022-04-09 16:15:04,2022-04-09
97292680,Piso en avenida Palencia; 15; Rondilla - Santa Clara; Valladolid,162.000,/inmueble/97292680/,4,120,Planta 4ª,Planta 4ª,no,Inmobiliaria las llaves de mi piso,/pro/inmobiliaria-las-llaves-de-mi-piso/,983 283 057,Oportunidad vivienda en Avenida Palencia de cuatro dormitorios; un baño; muy soleado; parquet; cocina amueblada. FINANCIAMOS LA COMPRA DE...,2022-04-09 16:15:04,2022-04-09
96945941,Piso en calle Portillo de Balboa; 46; Rondilla - Santa Clara; Valladolid,105.000,/inmueble/96945941/,3,85,Planta 4ª,Planta 4ª,no,LLAVEOLID GESTION INMOBILIARIA,/pro/llaveolid/,983 283 265,Bonito piso en venta en la calle Portillo de Balboa. Vivienda exterior y en buen estado para entrar a vivir de 85 metros construidos y un...,2022-04-09 16:15:04,2022-04-09
96804777,Piso en Oración; Rondilla - Santa Clara; Valladolid,84.900,/inmueble/96804777/,2,70,Planta 1ª,Planta 1ª,no,,,,,,
96692773,Piso en calle Moradas; Rondilla - Santa Clara; Valladolid,88.000,/inmueble/96692773/,3,66,Planta 3ª,Planta 3ª,no,inmobiliaria torrecilla,/pro/inmobiliaria-torrecilla/,983 985 243,Estupenda vivienda exterior para reformar..Al principio de la calle moradas.distribuida en 3 habitaciones; salón con galería cubierta;...,2022-04-09 16:15:04,2022-04-09
95158692,Piso en calle Serafín; 1; Rondilla - Santa Clara; Valladolid,89.000,/inmueble/95158692/,3,60,Planta 1ª,Planta 1ª,no,Proremar inmuebles sl,/pro/proremar/,983 985 786,Rondilla; piso de 60 m2; de 3 dormitorios; SALÓN con salida a un balcón; baño y cocina totalmente amueblada con electrodomésticos y salid...,2022-04-09 16:15:04,2022-04-09
94706068,Piso en calle de Linares; Rondilla - Santa Clara; Valladolid,182.000,/inmueble/94706068/,3,92,Planta 3ª,Planta 3ª,no,Sotocasa,/pro/sotocasa/,983 984 032,SOTOCASA VENDE PISO CON GARAJE EN PERFECTO ESTADO AL PRINCIPIO DE CALLE LINARES; JUNTO A AVENIDA PALENCIA. Se trata de una tercera planta...,2022-04-09 16:15:04,2022-04-09
96738924,Piso en Rondilla - Santa Clara; Valladolid,135.000,/inmueble/96738924/,3,80,Planta 5ª,Planta 5ª,no,inmobiliaria torrecilla,/pro/inmobiliaria-torrecilla/,983 985 243,Se vende piso reformado en la calle cardenal torquemada de 75m útiles con mucha luz..Distribuido en tres dormitorios; salón comedor; coci...,2022-04-09 16:15:04,2022-04-09
96586851,Piso en Rondilla - Santa Clara; Valladolid,138.000,/inmueble/96586851/,3,105,Planta 5ª,Planta 5ª,no,inmobiliaria torrecilla,/pro/inmobiliaria-torrecilla/,983 985 243,Fantastica vivienda en portillo de balboa; junto a calle linares. Inmejorable situación dentro del barrio de rondilla..Cuenta con una sup...,2022-04-09 16:15:04,2022-04-09
95971749,Piso en calle González Dueñas; Rondilla - Santa Clara; Valladolid,111.900,/inmueble/95971749/,2,62,Planta 2ª,Planta 2ª,no,Sotocasa,/pro/sotocasa/,983 984 032,SOTOCASA VENDE Bonito apartamento muy bien situado y reformado con materiales de alta calidad..Completamente aislado térmica-acústicament...,2022-04-09 16:15:04,2022-04-09
97147705,Piso en calle Portillo de Balboa; Rondilla - Santa Clara; Valladolid,105.000,/inmueble/97147705/,3,76,Planta 4ª,Planta 4ª,no,,,,,,
94080745,Piso en Rondilla - Santa Clara; Valladolid,138.000,/inmueble/94080745/,3,93,Planta 5ª,Planta 5ª,no,SIAVA INMOBILIARIA,/pro/siava/,983 282 709,Piso exterior muy luminoso ideal para vivienda o inversión..Situado en una de las mejores calles de la Rondilla; muy próximo a zona de F...,2022-04-09 16:15:04,2022-04-09
97233602,Piso en calle González Dueñas; Rondilla - Santa Clara; Valladolid,55.900,/inmueble/97233602/,3,65,Planta 2ª,Planta 2ª,no,,,,,,
97213458,Piso en avenida Palencia; Rondilla - Santa Clara; Valladolid,161.900,/inmueble/97213458/,4,116,Planta 4ª,Planta 4ª,no,JC INMOBILIARIA,/pro/jc-inmobiliaria-1/,983 283 258,Estupendo piso en la Avenida Palencia de 92m2 útiles; el piso consta de 4 dormitorios muy luminosos; un cuarto de baño completo; cocina t...,2022-04-09 16:15:04,2022-04-09
97156951,Piso en Virgen de la Saleta; Rondilla - Santa Clara; Valladolid,59.900,/inmueble/97156951/,2,70,Planta 5ª,Planta 5ª,no,,,,,,
97002223,Piso en PORTILLO DE BALBOA; Rondilla - Santa Clara; Valladolid,105.000,/inmueble/97002223/,3,85,Planta 4ª,Planta 4ª,no,,,,,,
96938919,Piso en Rondilla - Santa Clara; Valladolid,88.000,/inmueble/96938919/,3,66,Planta 3ª,Planta 3ª,no,"Activa Soluciones Inmobiliarias, S.L.",/pro/1100145471389704944-130017525/,665 674 601,A 3 minutos del Centro de Especialidades del Clínico! Venga a ver este piso cuanto antes si busca buena zona e inversión segura! Luminoso...,2022-04-09 16:15:04,2022-04-09
95840660,Piso en calle Moradas; Rondilla - Santa Clara; Valladolid,99.800,/inmueble/95840660/,3,92,Entreplanta,Entreplanta,no,,,,,,
91560399,Piso en Rondilla - Santa Clara; Valladolid,112.000,/inmueble/91560399/,2,62,Planta 2ª,Planta 2ª,no,,,,,,
96972943,Chalet adosado en paseo del Cauce; 8; Rondilla - Santa Clara; Valladolid,40.000,/inmueble/96972943/,1,70,,,,,,,,,
81909614,Piso en calle del Soto; 60; Rondilla - Santa Clara; Valladolid,119.900,/inmueble/81909614/,3,78,Planta 5ª,Planta 5ª,no,,,,,,
96001523,Piso en calle Álvaro de Luna; Rondilla - Santa Clara; Valladolid,87.000,/inmueble/96001523/,2,78,Planta 2ª,Planta 2ª,no,,,,,,
95798678,Piso en calle Pinzones; Rondilla - Santa Clara; Valladolid,131.900,/inmueble/95798678/,4,88,Planta 4ª,Planta 4ª,no,,,,,,
97240861,Piso en calle Álvaro de Luna; 3; Rondilla - Santa Clara; Valladolid,87.000,/inmueble/97240861/,2,72,Planta 2ª,Planta 2ª,no,,,,,,
84258874,Piso en calle Serafín; Rondilla - Santa Clara; Valladolid,115.000,/inmueble/84258874/,3,65,Bajo,Bajo,no,Metro inmobiliaria,/pro/metro-inmobiliaria/,983 982 906,venta de piso en zona Rondilla; Superf. 65 m²; útil 61 m²; 3 habitaciones (3 dobles); 1 baño; cocina (con galeria); suelos gres; ascensor...,2022-04-09 16:15:07,2022-04-09
95442331,Piso en calle de Linares; 29; Rondilla - Santa Clara; Valladolid,70.000,/inmueble/95442331/,3,75,Planta 3ª,Planta 3ª,no,,,,,,
94493587,Piso en calle de la Virgen de la Saleta; Rondilla - Santa Clara; Valladolid,66.900,/inmueble/94493587/,2,77,Planta 3ª,Planta 3ª,no,,,,,,
97036798,Piso en calle de Portillo de Balboa; 46; Rondilla - Santa Clara; Valladolid,110.000,/inmueble/97036798/,3,95,Planta 4ª,Planta 4ª,no,Inmobiliaria las llaves de mi piso,/pro/inmobiliaria-las-llaves-de-mi-piso/,983 283 057,Oportunidad vivienda reformada en La Rondilla de tres dormitorios; cocina amueblada; muy soleado; terraza; suelos de parquet. FINANCIAMOS...,2022-04-09 16:15:07,2022-04-09
96788748,Piso en Linares; Rondilla - Santa Clara; Valladolid,80.000,/inmueble/96788748/,3,76,Planta 5ª,Planta 5ª,no,,,,,,
93556280,Piso en calle Linares; Rondilla - Santa Clara; Valladolid,85.000,/inmueble/93556280/,3,72,Planta 5ª,Planta 5ª,no,,,,,,
95792014,Piso en calle del Amor de Dios; Rondilla - Santa Clara; Valladolid,77.800,/inmueble/95792014/,2,70,,,no,Sotocasa,/pro/sotocasa/,983 984 032,SOTOCASA vende vivienda en el barrio de la Rondilla! Se trata de una vivienda en una 1ª planta; con ascensor (en entreplanta); y consta d...,2022-04-09 16:15:07,2022-04-09
94563149,Piso en calle de Linares; Rondilla - Santa Clara; Valladolid,185.000,/inmueble/94563149/,3,95,Planta 2ª,Planta 2ª,no,Sotocasa,/pro/sotocasa/,983 984 032,SOTOCASA vende piso junto a la AVENIDA DE PALENCIA..Se trata de una segunda planta con ascensor; distribuido en 3 dormitorios; salon; coc...,2022-04-09 16:15:07,2022-04-09
37539671,Piso en calle Cerrada; 1; Rondilla - Santa Clara; Valladolid,122.000,/inmueble/37539671/,3,74,Planta 1ª,Planta 1ª,no,Proremar inmuebles sl,/pro/proremar/,983 985 786,Zona santa clara..Junto supermercado; bancos; bus; a 15 minutos de la plaza mayor..Piso reformado con ascensor..3 habitaciones; salon ind...,2022-04-09 16:15:07,2022-04-09
95357736,Piso en Rondilla - Santa Clara; Valladolid,117.999,/inmueble/95357736/,3,82,Planta 4ª,Planta 4ª,no,,,,,,
95642286,Piso en Rondilla - Santa Clara; Valladolid,112.000,/inmueble/95642286/,2,62,Planta 2ª,Planta 2ª,no,"Activa Soluciones Inmobiliarias, S.L.",/pro/1100145471389704944-130017525/,665 674 601,Bonito apartamento muy bien situado y reformado con materiales de alta calidad..Vivienda de 62 m2; con 2 dormitorios; 1 baño; salón y coc...,2022-04-09 16:15:07,2022-04-09
96972105,Piso en Rondilla - Santa Clara; Valladolid,87.000,/inmueble/96972105/,2,72,Planta 2ª,Planta 2ª,no,Alquilotucasa.com,/pro/alquilotucasa/,983 981 018,Piso en Valladolid zona Rondilla; 72 m. de superficie; una habitación doble y una habitación sencilla; un baño; propiedad para reformar;...,2022-04-09 16:15:07,2022-04-09
97131297,Piso en calle de Portillo de Balboa; Rondilla - Santa Clara; Valladolid,105.000,/inmueble/97131297/,3,83,Planta 4ª,Planta 4ª,no,,,,,,
95840773,Piso en calle Moradas; Rondilla - Santa Clara; Valladolid,136.900,/inmueble/95840773/,3,92,Bajo,Bajo,no,,,,,,
85953927,Estudio en calle González Dueñas; 20; Rondilla - Santa Clara; Valladolid,108.000,/inmueble/85953927/,50,Planta 2ª,,,,,,,,,
92640551,Piso en calle Álvaro de Luna; Rondilla - Santa Clara; Valladolid,87.000,/inmueble/92640551/,2,78,Planta 2ª,Planta 2ª,no,Prontopiso,/pro/prontopiso/,931 344 169,Oportunidad Bancaria..Se vende piso en la Calle Álvaro de Luna; segundo con ascensor; distribuido en dos dormitorios; un baño; salón con...,2022-04-09 16:15:07,2022-04-09
96947457,Piso en Rondilla - Santa Clara; Valladolid,105.000,/inmueble/96947457/,3,83,Planta 4ª,Planta 4ª,no,"Activa Soluciones Inmobiliarias, S.L.",/pro/1100145471389704944-130017525/,665 674 601,OPORTUNIDAD ¡ Precioso piso para entrar a vivir! muy bien situado a 10 minutos de Santa Clara! Muy luminoso!.Vivienda de 83 m2; con 3 dor...,2022-04-09 16:15:07,2022-04-09
95793830,Piso en calle de Portillo de Balboa; 25; Rondilla - Santa Clara; Valladolid,119.000,/inmueble/95793830/,2,91,Planta 3ª,Planta 3ª,no,,,,,,
96695566,Piso en calle Nebrija; Rondilla - Santa Clara; Valladolid,59.500,/inmueble/96695566/,3,60,Planta 1ª,Planta 1ª,no,,,,,,
96839063,Piso en Rondilla - Santa Clara; Valladolid,161.000,/inmueble/96839063/,4,112,Planta 4ª,Planta 4ª,no,"Activa Soluciones Inmobiliarias, S.L.",/pro/1100145471389704944-130017525/,665 674 601,EXCELENTE PISO MUY BIEN SITUADO JUNTO A SANTA CLARA!.Vivienda de 112 m2; con 4 dormitorios; 1 baño; salón; cocina amueblada con electrodo...,2022-04-09 16:15:07,2022-04-09
92355488,Piso en Rondilla - Santa Clara; Valladolid,138.000,/inmueble/92355488/,3,105,Planta 5ª,Planta 5ª,no,"Activa Soluciones Inmobiliarias, S.L.",/pro/1100145471389704944-130017525/,665 674 601,Piso exterior muy soleado; con buena altura; sin barreras arquitectónicas; portal nuevo y ascensor..Vivienda de 105 m2; con 3 dormitorios...,2022-04-09 16:15:07,2022-04-09
96661824,Piso en Rondilla - Santa Clara; Valladolid,132.000,/inmueble/96661824/,4,88,Planta 4ª,Planta 4ª,no,inmobiliaria torrecilla,/pro/inmobiliaria-torrecilla/,983 985 243,,,
94824077,Piso en Rondilla - Santa Clara; Valladolid,80.000,/inmueble/94824077/,3,72,Planta 5ª,Planta 5ª,no,"Activa Soluciones Inmobiliarias, S.L.",/pro/1100145471389704944-130017525/,665 674 601,PISO FAMILIAR Y LUMINOSO!.Vivienda de 72 m2; con 3 dormitorios; 1 baño; salón y cocina amueblada simple con salida a galería cubierta..Ca...,2022-04-09 16:15:07,2022-04-09
92170960,Piso en PORTILLO DE BALBOA; Rondilla - Santa Clara; Valladolid,138.000,/inmueble/92170960/,3,105,Planta 5ª,Planta 5ª,no,,,,,,
84501711,Piso en paseo del Renacimiento; Valladolid; Rondilla - Santa Clara; Valladolid,90.000,/inmueble/84501711/,3,86,Planta 5ª,Planta 5ª,no,,,,,,
90637126,Piso en cerrada; Rondilla - Santa Clara; Valladolid,117.000,/inmueble/90637126/,3,76,Planta 1ª,Planta 1ª,no,,,,,,
97096804,Piso en Rondilla - Santa Clara; Valladolid,119.900,/inmueble/97096804/,2,67,Planta 3ª,Planta 3ª,no,,,,,,
96995265,Piso en Rondilla - Santa Clara; Valladolid,113.600,/inmueble/96995265/,3,94,Planta 4ª,Planta 4ª,no,,,,,,
96898632,Piso en calle de Portillo de Balboa; 38; Rondilla - Santa Clara; Valladolid,180.000,/inmueble/96898632/,4,95,Planta 3ª,Planta 3ª,no,,,,,,
91900332,Piso en calle de Tirso de Molina; 30; Rondilla - Santa Clara; Valladolid,80.000,/inmueble/91900332/,2,70,Bajo,Bajo,no,,,,,,
90796160,Piso en calle del Cardenal Torquemada; 5; Rondilla - Santa Clara; Valladolid,89.900,/inmueble/90796160/,3,69,Planta 5ª,Planta 5ª,no,,,,,,
92998308,Piso en calle de Portillo de Balboa; 4; Rondilla - Santa Clara; Valladolid,131.000,/inmueble/92998308/,2,65,Planta 6ª,Planta 6ª,no,,,,,,
88641441,Piso en calle Olmo; 2; Rondilla - Santa Clara; Valladolid,170.000,/inmueble/88641441/,3,93,Planta 2ª,Planta 2ª,no,,,,,,
87498479,Piso en calle Moradas; 12; Rondilla - Santa Clara; Valladolid,110.000,/inmueble/87498479/,3,70,Bajo,Bajo,no,,,,,,
39864210,Piso en Rondilla - Santa Clara; Valladolid,83.600,/inmueble/39864210/,3,76,Planta 5ª,Planta 5ª,no,,,,,,
37791761,Piso en Rondilla - Santa Clara; Valladolid,111.900,/inmueble/37791761/,2,56,Planta 2ª,Planta 2ª,no,,,,,,
36296689,Piso en Rondilla - Santa Clara; Valladolid,105.000,/inmueble/36296689/,3,80,Planta 4ª,Planta 4ª,no,,,,,,
1298276,Piso en Rondilla - Santa Clara; Valladolid,134.000,/inmueble/1298276/,3,70,Planta 3ª,Planta 3ª,no,,,,,,
96726044,Piso en Rondilla - Santa Clara; Valladolid,71.900,/inmueble/96726044/,3,65,Bajo,Bajo,no,,,,,,
37898508,Piso en Rondilla - Santa Clara; Valladolid,176.000,/inmueble/37898508/,3,90,Planta 4ª,Planta 4ª,no,,,,,,
97204855,Piso en Rondilla - Santa Clara; Valladolid,105.000,/inmueble/97204855/,3,90,Planta 4ª,Planta 4ª,no,,,,,,
84169049,Piso en calle Moradas; 38; Rondilla - Santa Clara; Valladolid,89.000,/inmueble/84169049/,3,66,Planta 2ª,Planta 2ª,no,,,,,,
95647060,Piso en Rondilla - Santa Clara; Valladolid,83.000,/inmueble/95647060/,2,78,Planta 4ª,Planta 4ª,no,,,,,,
36237928,Piso en calle serafín; 3; Rondilla - Santa Clara; Valladolid,110.000,/inmueble/36237928/,3,65,Planta 3ª,Planta 3ª,no,,,,,,
29561896,Piso en calle Moradas; 19; Rondilla - Santa Clara; Valladolid,120.000,/inmueble/29561896/,3,85,Planta 1ª,Planta 1ª,no,,,,,,
