crawl_date,crawl_datetime,id,name,price,url,rooms,m2,height,type,elevator,seller_phone,description,euro_per_m2,seller,seller_url
2022-04-09,2022-04-09 16:33:00,93363588,Piso en calle Emilia Pardo Bazán; 5; Pº Zorrilla - Cuatro de Marzo; Valladolid,84.900,/inmueble/93363588/,3,90,Bajo,exterior con ascensor,yes,605 278 514,GRAN OPORTUNIDAD!.3 habitaciones; 1 baño; 85 m2; a reformar; bajo; con ascensor; exterior..Piso junto al Paseo Zorrilla y en frente de E...,943.33,,
2022-04-09,2022-04-09 16:33:00,93350920,Piso en Pº Zorrilla - Cuatro de Marzo; Valladolid,79.800,/inmueble/93350920/,3,87,Bajo,exterior sin ascensor,no,983 981 058,Piso para reformar en la zona del Pº de Zorrilla..Tiene 3 dormitorios; salón; cocina y 1 baño..La Calefacción es Central..Exterior.Magníf...,917.24,,
2022-04-09,2022-04-09 16:33:00,1767165,Piso en calle norte; 3; Pº Zorrilla - Cuatro de Marzo; Valladolid,100.000,/inmueble/1767165/,1,51,Bajo,exterior con ascensor,yes,983 071 820,Gran salón; luminoso; cocina y baño equipados; zona muy tranquila con todos los servicios a su alcance.distribución:.2 vecinos en el e...,1960.78,,
2022-04-09,2022-04-09 16:33:00,96837797,Piso en Pº Zorrilla - Cuatro de Marzo; Valladolid,245.000,/inmueble/96837797/,4,116,Planta 5ª,exterior con ascensor,yes,983 986 243,AMPLISIMA VIVIENDA; con muchas posibilidades de reforma; ubicación privilegiada. 100 metros útiles; distribuida en 4 dormitorios; 2 baños...,2112.07,,
2022-04-09,2022-04-09 16:33:00,96542428,Piso en paseo de Zorrilla; 46; Pº Zorrilla - Cuatro de Marzo; Valladolid,590.000,/inmueble/96542428/,6,149,Planta 2ª,exterior con ascensor,yes,675 537 289,,,,
2022-04-09,2022-04-09 16:33:00,85806183,Piso en calle Padre Francisco Suárez; 13; Pº Zorrilla - Cuatro de Marzo; Valladolid,75.000,/inmueble/85806183/,1,55,Bajo,interior con ascensor,yes,600 424 341,,,,
2022-04-09,2022-04-09 16:33:00,38818758,Piso en calle Mercedes; 8; Pº Zorrilla - Cuatro de Marzo; Valladolid,210.000,/inmueble/38818758/,3,104,Planta 3ª,exterior con ascensor,yes,609 329 860,,,,
2022-04-09,2022-04-09 16:33:00,95601571,Piso en Pº Zorrilla - Cuatro de Marzo; Valladolid,122.000,/inmueble/95601571/,4,118,Planta 4ª,exterior sin ascensor,no,983 981 058,Piso junto a la Plaza del Ejercito.Tiene 4 dormitorios; salón; cocina amueblada con electrodomésticos y 2 baños uno con bañera y otro con...,1033.9,,
2022-04-09,2022-04-09 16:33:00,94144651,Piso en calle Goya; Pº Zorrilla - Cuatro de Marzo; Valladolid,131.250,/inmueble/94144651/,3,124,,,,,,,,
2022-04-09,2022-04-09 16:33:00,85145649,Piso en calle de Magallanes; 7; Pº Zorrilla - Cuatro de Marzo; Valladolid,127.000,/inmueble/85145649/,2,68,Planta 3ª,interior con ascensor,yes,685 281 424,Precioso piso reformado; céntrico; al lado del Paseo Zorrilla y a 5 minutos del Corte Inglés..Muebles incluídos. Instalación eléctrica n...,1867.65,,
2022-04-09,2022-04-09 16:33:00,90073544,Piso en paseo de Zorrilla; 100; Pº Zorrilla - Cuatro de Marzo; Valladolid,225.000,/inmueble/90073544/,3,94,Planta 6ª,exterior con ascensor,yes,643 755 531,Excelente ubicación en Valladolid. Piso con mucha luminosidad; muy bien cuidado. Salón-comedor muy amplio. Muy buena calefacción central...,2393.62,,
2022-04-09,2022-04-09 16:33:00,88802944,Piso en calle Estadio; 4; Pº Zorrilla - Cuatro de Marzo; Valladolid,200.000,/inmueble/88802944/,5,90,Planta 1ª,exterior con ascensor,yes,649 761 324,Planta primera metros cuadrados 87 - cinco habitaciones; cocina; 2 baños; servicio; Office; hall; pasillo y dos terrazas; una de ellas in...,2222.22,,
2022-04-09,2022-04-09 16:33:00,94806740,Piso en calle del Puente Colgante; 17; Pº Zorrilla - Cuatro de Marzo; Valladolid,270.000,/inmueble/94806740/,4,129,Planta 5ª,exterior con ascensor,yes,610 270 701,,,,
2022-04-09,2022-04-09 16:33:00,94206640,Piso en puente Colgante; 33; Pº Zorrilla - Cuatro de Marzo; Valladolid,130.000,/inmueble/94206640/,3,70,Planta 2ª,exterior con ascensor,yes,666 082 567,,,,
